aggregate_date,week_label,region,carrier_name,5G,LTE,Multi-RAT,fiveg_minus_lte_kbps,fiveg_minus_lte_pct,fiveg_underperform_lte
2026-03-08,2026-03-08,Giza,Operator B,358467.6278873917,73011.43601347085,150620.09874913932,285456.19187392085,390.974630085694,False
2026-03-08,2026-03-08,Giza,Operator C,248126.0680668016,23350.20366206232,82272.96794313897,224775.8644047393,962.6291387339737,False
2026-03-08,2026-03-08,Ismailia,Operator A,127394.89690721648,57610.890973036345,64293.78825622776,69784.00593418014,121.12988491506091,False
2026-03-08,2026-03-08,Ismailia,Operator B,329472.4741727199,68626.19058408862,134957.83646496816,260846.2835886313,380.097279724441,False
2026-03-08,2026-03-08,Ismailia,Operator C,311793.8774509804,25554.473684210527,174220.80859916782,286239.4037667699,1120.1146511721356,False
2026-03-08,2026-03-08,Minya,Operator A,208918.5652173913,46244.21337579618,74134.69191919192,162674.3518415951,351.7723407243369,False
2026-03-08,2026-03-08,Minya,Operator B,317964.68613861385,45159.90768314473,110383.15516584064,272804.7784554691,604.0862181773005,False
2026-03-08,2026-03-08,Minya,Operator C,320324.75,27497.367965367965,148519.24509803922,292827.382034632,1064.9287684677258,False
2026-03-08,2026-03-08,Monufia,Operator A,218045.5909090909,64990.531468531466,88324.31216931216,153055.05944055945,235.50362796258864,False
2026-03-08,2026-03-08,Monufia,Operator B,314370.5706940874,50021.48063781321,146369.33857315598,264349.0900562742,528.4711421685553,False
2026-03-08,2026-03-08,Monufia,Operator C,119827.66666666669,36612.13924050633,46952.55882352941,83215.52742616035,227.28944320766087,False
2026-03-08,2026-03-08,Port Said,Operator A,337846.4361086376,55471.77825409197,131591.88147907177,282374.6578545456,509.04201513265133,False
2026-03-08,2026-03-08,Port Said,Operator B,362504.94492592965,47749.91887858437,146781.55401469607,314755.02604734525,659.1739492745222,False
2026-03-08,2026-03-08,Port Said,Operator C,353952.8144290124,27827.930412371134,172654.4235313423,326124.8840166413,1171.9336622735689,False
2026-03-08,2026-03-08,Sharqia,Operator A,251533.371875,53035.51539912005,68846.17875647669,198497.85647587996,374.273456158726,False
2026-03-08,2026-03-08,Sharqia,Operator B,248764.7572663001,14800.343145976549,28034.153654384045,233964.41412032355,1580.8039841557757,False
2026-03-08,2026-03-08,Sharqia,Operator C,129864.9079229122,24635.94152626363,39116.01550387597,105228.96639664857,427.1359642758819,False
2026-03-08,2026-03-08,Sohag,Operator A,275025.10869565216,48802.66086956522,57240.83754512636,226222.44782608695,463.5453145284665,False
2026-03-08,2026-03-08,Sohag,Operator B,222713.1981613892,16823.57164480323,25142.463915470493,205889.626516586,1223.8163861012529,False
2026-03-08,2026-03-08,Sohag,Operator C,117734.01587301587,15836.3,33359.20652173913,101897.71587301587,643.4439602243951,False
2026-03-15,2026-03-15,Alexandria,Operator A,440885.9722222223,75955.85714285714,137818.0792079208,364930.11507936515,480.45026256896506,False
2026-03-15,2026-03-15,Alexandria,Operator B,319928.8493894166,64155.09786354238,126350.87043966324,255773.7515258742,398.6803232221761,False
2026-03-15,2026-03-15,Alexandria,Operator C,245652.72,42181.47196261682,81689.19518716578,203471.2480373832,482.3711420448031,False
2026-03-15,2026-03-15,Assiut,Operator B,352726.5508274232,93767.43548387096,158807.29668049794,258959.11534355226,276.1716943704791,False
2026-03-15,2026-03-15,Assiut,Operator C,265612.1052631579,28286.36496350365,138922.32727272727,237325.74029965428,839.0110945887275,False
2026-03-15,2026-03-15,Cairo,Operator A,315687.1132275132,53754.58307210032,104385.42645883294,261932.53015541288,487.27478697785864,False
2026-03-15,2026-03-15,Cairo,Operator B,270427.7317919075,31777.701449912125,73129.81250884393,238650.03034199539,750.9984028207784,False
2026-03-15,2026-03-15,Cairo,Operator C,307233.55812220566,22596.03307607497,146346.49797023003,284637.5250461307,1259.6791838984752,False
2026-03-15,2026-03-15,Dakahlia,Operator A,267825.1012163336,41800.59173494834,89256.62085212358,226024.5094813853,540.7208369550718,False
2026-03-15,2026-03-15,Dakahlia,Operator B,294131.6770221328,21754.38009470658,48447.856939680416,272377.2969274262,1252.0572672797184,False
2026-03-15,2026-03-15,Dakahlia,Operator C,241568.35496183205,19476.14606155451,60495.00029316916,222092.20890027753,1140.3293454380214,False
2026-03-15,2026-03-15,Fayoum,Operator A,215414.74251497007,51532.50769230769,68014.89250493096,163882.23482266237,318.0171937317253,False
2026-03-15,2026-03-15,Fayoum,Operator B,217775.3251992032,36793.29365484827,51143.264621365786,180982.03154435492,491.88863938661507,False
2026-03-15,2026-03-15,Fayoum,Operator C,83921.26363636364,21326.252217997466,29899.16285998014,62595.01141836618,293.5115405112837,False
2026-03-15,2026-03-15,Gharbia,Operator B,304843.9976133652,101012.3702970297,181143.8256467941,203831.62731633548,201.78877766848046,False
2026-03-15,2026-03-15,Gharbia,Operator C,336661.5255474452,46273.50943396227,130863.68316831684,290388.01611348294,627.5469910660239,False
2026-03-15,2026-03-15,Giza,Operator A,251469.49721037084,55755.07294429709,89251.28748770895,195714.42426607374,351.02532187807384,False
2026-03-15,2026-03-15,Giza,Operator B,356838.0828644501,69348.85355259075,137992.70170975567,287489.22931185935,414.55512900994347,False
2026-03-15,2026-03-15,Giza,Operator C,256709.6414167529,22095.24299065421,86970.73019875408,234614.3984260987,1061.8321714105398,False
2026-03-15,2026-03-15,Ismailia,Operator A,130479.52727272728,61489.04458598726,67226.94824016563,68990.48268674003,112.19963353026674,False
2026-03-15,2026-03-15,Ismailia,Operator B,330133.6258120398,66061.29711286089,137305.336813742,264072.32869917894,399.7383343049269,False
2026-03-15,2026-03-15,Ismailia,Operator C,357362.40425531915,31904.729946524065,123358.85323741008,325457.6743087951,1020.0922397848185,False
2026-03-15,2026-03-15,Minya,Operator A,186369.36170212767,53618.88256227758,77991.13559322034,132750.4791398501,247.5815846883088,False
2026-03-15,2026-03-15,Minya,Operator B,251470.3742331288,49852.68207762557,95336.70150987223,201617.69215550323,404.42697113379876,False
2026-03-15,2026-03-15,Minya,Operator C,237687.04676258992,23834.297872340427,161543.96288209606,213852.7488902495,897.2479493026076,False
2026-03-15,2026-03-15,Monufia,Operator A,262515.9523809524,117935.8843537415,142776.5824742268,144580.06802721095,122.59209215199662,False
2026-03-15,2026-03-15,Monufia,Operator B,241011.6120689655,46490.05194805195,103519.84045226131,194521.56012091355,418.41545012311923,False
2026-03-15,2026-03-15,Port Said,Operator A,302269.9752368648,53406.21697560976,131781.76467437876,248863.75826125505,465.98274948946374,False
2026-03-15,2026-03-15,Port Said,Operator B,373113.07084188913,52072.55653648269,158091.2448689291,321040.5143054064,616.525355501763,False
2026-03-15,2026-03-15,Port Said,Operator C,321048.8920159976,26581.933800271127,153311.30942810158,294466.9582157265,1107.7710163160627,False
2026-03-15,2026-03-15,Sharqia,Operator A,259591.57009345797,50753.019392372335,65030.844696969696,208838.55070108562,411.4800522241874,False
2026-03-15,2026-03-15,Sharqia,Operator B,246938.7956313585,17588.595485623304,29902.368861685663,229350.20014573517,1303.97108929592,False
2026-03-15,2026-03-15,Sharqia,Operator C,139703.17647058822,23216.820276497696,50364.54254545455,116486.35619409053,501.7326007903384,False
2026-03-15,2026-03-15,Sohag,Operator A,231302.9302325581,47055.60416666666,68268.87003610109,184247.32606589145,391.55235455760857,False
2026-03-15,2026-03-15,Sohag,Operator B,205444.4744623656,18595.85567010309,30904.27386398292,186848.6187922625,1004.7863465226964,False
2026-03-15,2026-03-15,Sohag,Operator C,74636.55696202532,13544.452554744526,20858.472222222223,61092.1044072808,451.0489010933163,False
